Team Name: The Googlers 
  Player #61 - Name: IKE, Position: DEFENDER, Grade: 97
  Player #97 - Name: ILIANA, Position: MIDFIELDER, Grade: 89
  Player #30 - Name: ELLSWORTH, Position: ATTACKER, Grade: 16
  Player #14 - Name: WANDA, Position: DEFENDER, Grade: 31
  Player #49 - Name: HERBERT, Position: MIDFIELDER, Grade: 16
  Player #27 - Name: AMI, Position: GOAL_KEEPER, Grade: 1
  Player #85 - Name: PETER, Position: ATTACKER, Grade: 34
  Player #12 - Name: FAIRY, Position: ATTACKER, Grade: 41
  Player #81 - Name: ANDREAS, Position: ATTACKER, Grade: 47
  Player #17 - Name: CAMILA, Position: DEFENDER, Grade: 58
  Player #83 - Name: GARY, Position: MIDFIELDER, Grade: 2
